"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WESD","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT07","WT08","WT09","WT11","WT13","WT14","WT16","WT18","WT21","WV01","WV03","WV20"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-01-28","4.92"," 0648"," 0648","0.00",,,"49","55","42",,"   80","   80","0.0","14.1","15.0",,,,,,,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-01-29","5.14"," 2208"," 2332","0.00",,,"52","59","45",,"  120","  180","0.0","13.0","15.0",,,,,,,"    1",,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-01-30","14.54"," 0949"," 0948","0.54",,,"55","57","52",,"  190","  190","0.0","34.0","45.0","    1",,,,,,,,,"    1",,"    1",,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-01-31","5.14"," 1027"," 1227","0.04",,,"53","55","50",,"   90","  140","0.0","15.0","17.9","    1",,,,,,,,,"    1",,"    1",,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-02-01","4.70"," 2343"," 2343","0.00",,,"57","61","52",,"   30","   30","0.0","10.1","11.0","    1",,,,,,,,,"    1",,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-02-02","6.71"," 0233"," 0235","0.00",,,"56","62","50",,"   50","   50","0.0","15.0","16.1","    1",,,,,,,,,"    1",,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-02-03","8.05"," 1123"," 1123","0.25",,,"57","64","50",,"  160","  160","0.0","38.9","51.9","    1",,,,,,,,,"    1",,"    1",,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-02-04","6.71"," 1613"," 1612","0.00",,,"56","61","50",,"  110","  110","0.0","17.0","19.9",,,,,,,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-02-05","9.62"," 1310"," 1310","0.30",,,"55","59","50",,"  160","  160","0.0","23.0","25.9","    1",,,,,,,,,"    1",,"    1",,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-02-06","2.91"," 0640"," 0640","0.00",,,"55","61","48",,"   10","   10","0.0","8.9","10.1","    1",,,,,,,,,"    1",,,,,,,
