"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WESD","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2005-01-28","5.37"," 1438"," 1437","0.00",,,,"39","48","29","    0","  120","  120",,"13.0","15.0","    1","    1",,,,"    1",,"    1",,,,"    1",,"    1","    1",,,,,"    1"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2005-01-29","5.59"," 1609"," 1453","0.00",,,,"37","44","30","    0","  130","  100",,"15.0","17.0","    1",,,,,,,,,,,"    1",,,"    1",,"    1",,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2005-01-30","5.59"," 2345"," 2344","0.15",,,,"35","40","29","    0","   20","   10",,"25.1","30.0","    1","    1",,,,,,"    1",,,,"    1",,,"    1",,"    1",,,"    1"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2005-01-31","9.40"," 2359"," 0011","0.04",,,"1.0","29","37","20","    0","   20","   10",,"21.0","25.1","    1",,,,,,,,,,,"    1",,,,,"    1",,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2005-02-01","8.72"," 2211"," 2210","0.00",,,,"30","41","19","    0","  310","  330",,"15.0","23.0",,,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2005-02-02","8.95"," 0735"," 0744","0.00",,,,"33","44","21","    0","  220","  220",,"14.1","17.0",,,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2005-02-03","9.40"," 0344"," 2316","0.00",,,,"40","54","26","    0","  220","  210",,"14.1","15.0",,,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2005-02-04","8.95"," 2027"," 2143","0.00",,,,"46","59","32","    0","  200","  210",,"16.1","17.0",,,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2005-02-05","9.17"," 1207"," 1215","0.00",,,,"45","58","31","    0","  310","  290",,"19.9","23.0",,,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2005-02-06","7.38"," 0711"," 2232","0.00",,,,"31","39","22","    0","   20","   90",,"15.0","17.0",,,,,,,,,,,,,,,,,"    1",,,
